"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"CSS","CSS Industries, Inc.","26.82","$242.21M","n/a","Consumer Services","Consumer: Greeting Cards","http://www.nasdaq.com/symbol/css"
"CST","CST Brands, Inc.","35.1","$2.65B","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cst"
"CTS","CTS Corporation","14.05","$458.56M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/cts"
"CUBE","CubeSmart","28.65","$4.94B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cube"
"CUBE^A","CubeSmart","26.07","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cube^a"
"CUB","Cubic Corporation","34.33","$925.68M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cub"
"CFR","Cullen/Frost Bankers, Inc.","48.38","$3.02B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfr"
"CFR^A","Cullen/Frost Bankers, Inc.","24.9","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfr^a"
"CFI","Culp, Inc.","23.49","$290.11M","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/cfi"
"CMI","Cummins Inc.","99","$17.58B","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cmi"
"CW","Curtiss-Wright Corporation","65.83","$3.01B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cw"
"SRF","Cushing Energy Income Fund (The)","6.9","$663552.3","2012","n/a","n/a","http://www.nasdaq.com/symbol/srf"
"SZC","Cushing Renaissance Fund (The)","12.86","$77.86M","2012","n/a","n/a","http://www.nasdaq.com/symbol/szc"
"CUBI","Customers Bancorp, Inc","22.01","$591.68M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubi"
"CUBI^C","Customers Bancorp, Inc","26.0749","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cubi^c"
"CUBI^D","Customers Bancorp, Inc","25.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cubi^d"
"CUBS","Customers Bancorp, Inc","26.7115","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubs"
"CSI","Cutwater Select Income Fund","18.58","$198.97M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csi"
"CVT","CVENT, INC.","22.62","$948.95M","1987","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cvt"
