"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"VLGEA","Village Super Market, Inc.","24.5","$346.57M","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/vlgea"
"VIP","VimpelCom Ltd.","3.45","$6.06B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vip"
"VNOM","Viper Energy Partners LP","14.5","$1.16B","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnom"
"VIRC","Virco Manufacturing Corporation","3.17","$47.54M","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/virc"
"VA","Virgin America Inc.","29.46","$1.29B","2014","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/va"
"VIRT","Virtu Financial, Inc.","21.02","$2.91B","2015","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/virt"
"VSCP","VirtualScopics, Inc.","3.83","$11.5M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/vscp"
"VRTS","Virtus Investment Partners, Inc.","85.68","$742.65M","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/vrts"
"VRTU","Virtusa Corporation","42.74","$1.27B","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/vrtu"
"VISN","VisionChina Media, Inc.","9.45","$48.25M","2007","Technology","Advertising","http://www.nasdaq.com/symbol/visn"
"VTAE","Vitae Pharmaceuticals, Inc.","9.17","$200.55M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtae"
"VTL","Vital Therapies, Inc.","9.15","$278.4M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtl"
"VVUS","VIVUS, Inc.","1.02","$106.12M","1994","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vvus"
"VOD","Vodafone Group Plc","30.15","$79.91B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vod"
"VLTC","Voltari Corporation","3.86","$34.72M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vltc"
"VOXX","VOXX International Corporation","3.69","$89.15M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/voxx"
"VYGR","Voyager Therapeutics, Inc.","10.36","$277.12M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/vygr"
"VRNG","Vringo, Inc.","1.6","$1.8M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/vrng"
"VSEC","VSE Corporation","55.01","$295.67M","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/vsec"
"VTVT","vTv Therapeutics Inc.","6.29","$206.39M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtvt"
"VUZI","Vuzix Corporation","5.5989","$89.92M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/vuzi"
"VWR","VWR Corporation","23.24","$3.05B","2014","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/vwr"
"WGBS","WaferGen Bio-systems, Inc.","0.63","$9.11M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/wgbs"
"WBA","Walgreens Boots Alliance, Inc.","75.2","$81.12B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/wba"
"WRES","Warren Resources, Inc.","0.1426","$12.15M","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wres"
"WAFD","Washington Federal, Inc.","20.62","$1.92B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wafd"
